A;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24; ;x;xk; ;d
0;2,95312500;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99743951;0,99842529; ;1,00000000
1;-1,56250000;4,51562500;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99759777;0,99852270; ;1,00000000
2;0;-1,56250000;4,51562500;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99783082;0,99866609; ;1,00000000
3;0;0;-1,56250000;4,51562500;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99814779;0,99886104; ;1,00000000
4;0;0;0;-1,56250000;2,95312500;0,00000000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99856782;0,99911933; ;1,00000000
5;-0,39062500;0;0;0;0,00000000;3,34375000;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99770410;0,99858822; ;1,00000000
6;0;-0,39062500;0;0;0;-1,56250000;4,90625000;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99789797;0,99870745; ;1,00000000
7;0;0;-0,39062500;0;0;0;-1,56250000;4,90625000;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99824800;0,99892269; ;1,00000000
8;0;0;0;-0,39062500;0;0;0;-1,56250000;4,90625000;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0;0; ;0,99856641;0,99911848; ;1,00000000
9;0;0;0;0;-0,39062500;0;0;0;-1,56250000;3,34375000;0,00000000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0;0; ;0,99891722;0,99933419; ;1,00000000
10;0;0;0;0;0;-0,39062500;0;0;0;0,00000000;3,34375000;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0;0; ;14996263270484879000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;5274241825433985200000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000
11;0;0;0;0;0;0;-0,39062500;0;0;0;-1,56250000;4,90625000;-1,56250000;0;0;0;-0,39062500;0;0;0;0;0;0;0;0; ;11286877506428729000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000;3969393684589939700000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000,00000000; ;1,00000000
