A;0;1;2;3;4;5;6;7;8; ;x;xk; ;d
0;3,000000;-1,000000;0;-1,000000;0;0;0;0;0; ;9642,837313;9642,846567; ;10000,000000
1;-1,000000;4,000000;-1,000000;0;-1,000000;0;0;0;0; ;9464,269851;9464,277254; ;10000,000000
2;0;-1,000000;3,000000;0,000000;0;-1,000000;0;0;0; ;9642,846567;9642,851502; ;10000,000000
3;-1,000000;0;0,000000;4,000000;-1,000000;0;-1,000000;0;0; ;9464,269851;9464,277254; ;10000,000000
4;0;-1,000000;0;-1,000000;5,000000;-1,000000;0;-1,000000;0; ;8571,415881;8571,421803; ;5000,000000
5;0;0;-1,000000;0;-1,000000;4,000000;0,000000;0;-1,000000; ;9464,277254;9464,281202; ;10000,000000
6;0;0;0;-1,000000;0;0,000000;3,000000;-1,000000;0; ;9642,846567;9642,851502; ;10000,000000
7;0;0;0;0;-1,000000;0;-1,000000;4,000000;-1,000000; ;9464,277254;9464,281202; ;10000,000000
8;0;0;0;0;0;-1,000000;0;-1,000000;3,000000; ;9642,851502;9642,854135; ;10000,000000

;;;;;;;;;;;Interações;24
;;;;;;;;;;;Erro;0,009254
