A;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24; ;x;xk; ;d
0;2,95312500000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999993605426000;0,99999999996067845000; ;1,00000000000000000000
1;-1,56249999999999980000;4,51562500000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999994001287000;0,99999999996311273000; ;1,00000000000000000000
2;0;-1,56249999999999980000;4,51562500000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999994583788000;0,99999999996669475000; ;1,00000000000000000000
3;0;0;-1,56249999999999980000;4,51562500000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999995375510000;0,99999999997156319000; ;1,00000000000000000000
4;0;0;0;-1,56249999999999980000;2,95312500000000000000;0,00000000000000000000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999996424283000;0,99999999997801203000; ;1,00000000000000000000
5;-0,39062499999999994000;0;0;0;0,00000000000000000000;3,34374999999999960000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999994267963000;0,99999999996475242000; ;1,00000000000000000000
6;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999994752053000;0,99999999996772926000; ;1,00000000000000000000
7;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999995625977000;0,99999999997310318000; ;1,00000000000000000000
8;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0;0; ;0,99999999996420919000;0,99999999997799149000; ;1,00000000000000000000
9;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;3,34374999999999960000;0,00000000000000000000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0;0; ;0,99999999997296740000;0,99999999998337696000; ;1,00000000000000000000
10;0;0;0;0;0;-0,39062499999999994000;0;0;0;0,00000000000000000000;3,34374999999999960000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0;0; ;0,90642962948107686000;0,90642962949824590000; ;1,00000000000000000000
11;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0;0; ;0,79975940714312599000;0,79975940715921923000; ;1,00000000000000000000
12;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0;0; ;0,46481490899783817000;0,46481490901214051000; ;-1,00000000000000000000
13;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0;0;0; ;0,79975940715369409000;0,79975940716571770000; ;1,00000000000000000000
14;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;3,34374999999999960000;0,00000000000000000000;0;0;0;-0,39062499999999994000;0;0;0;0;0; ;0,90642962950178319000;0,90642962951097861000; ;1,00000000000000000000
15;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;0,00000000000000000000;3,34374999999999960000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0;0; ;0,96528820261851256000;0,96528820263408022000; ;1,00000000000000000000
16;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0;0; ;0,94910934627043786000;0,94910934628517774000; ;1,00000000000000000000
17;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0;0; ;0,92497529291964087000;0,92497529293294722000; ;1,00000000000000000000
18;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,90625000000000000000;-1,56249999999999980000;0;0;0;-0,39062499999999994000;0; ;0,94910934627930921000;0,94910934629063270000; ;1,00000000000000000000
19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;3,34374999999999960000;0,00000000000000000000;0;0;0;-0,39062499999999994000; ;0,96528820263627824000;0,96528820264500448000; ;1,00000000000000000000
20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;0,00000000000000000000;2,95312500000000000000;-1,56249999999999980000;0;0;0; ;0,98786152678943828000;0,98786152679925010000; ;1,00000000000000000000
21;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,51562500000000000000;-1,56249999999999980000;0;0; ;0,98573623499206298000;0,98573623500107310000; ;1,00000000000000000000
22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,51562500000000000000;-1,56249999999999980000;0; ;0,98363885578255683000;0,98363885579026922000; ;1,00000000000000000000
23;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;4,51562500000000000000;-1,56249999999999980000; ;0,98573623499956842000;0,98573623500568841000; ;1,00000000000000000000
24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-0,39062499999999994000;0;0;0;-1,56249999999999980000;2,95312500000000000000; ;0,98786152680351202000;0,98786152680790429000; ;1,00000000000000000000

;;;;;;;;;;;;;;;;;;;;;;;;;;;Interações;50
